ID,X,Y
P78001,697202,4063042
P79001,697231,4063004
P79002,697231,4063002
R01,697192,4063105
R02,697194,4063097
R03,697143,4063116
R04,697182,4063071
P13701,697084,4063263
P13702,697080,4063261
P13703,697078,4063261
P13704,697076,4063259
P14601,697055,4063199
P14602,697054,4063199
P14603,697054,4063199
P14604,697053,4063198
P14605,697053,4063198
P14606,697053,4063198
P14701,697062,4063197
P14702,697064,4063199
P14703,697065,4063199
2R01,697079,4063206
P14901,697080,4063215
P14902,697079,4063215
P15501,697131,4063188
P15502,697132,4063189
P15503,697132,4063189
P15901,697161,4063163
P18201,696981,4063273
P18301,696983,4063241
P19701,697035,4063202
P19801,697037,4063201
P19802,697039,4063200
P20001,697044,4063207
P20301,696986,4063327
P21001,696966,4063332
P21601,696949,4063343
R301,696950,4063343
P21701,696939,4063310
P21901,696919,4063322
P21902,696919,4063322
P22001,696919,4063333
P23901,696900,4063344
P24501,696900,4063362
P25201,696962,4063277
P25202,696965,4063270
P25701,696959,4063276
P25702,696957,4063274
P25801,696943,4063275
P25901,696949,4063286
P26101,696907,4063275
P26401,696912,4063291
P26402,696912,4063290
P26501,696925,4063293
P26601,696917,4063308
P27101,696883,4063279
P27102,696882,4063276
P27103,696882,4063275
P27301,696874,4063285
P27302,696864,4063284
P27601,696877,4063322
P27701,696868,4063315
P30301,696843,4063358
P33101,696818,4063380
P33401,696825,4063402
P33402,696822,4063400
P41501,696764,4063320
P44101,696689,4063525
P44102,696686,4063524
P44103,696685,4063524
P44201,696668,4063503
P44401,696661,4063526
P45201,696677,4063550
P46201,696606,4063577
P46202,696609,4063577
P53801,696585,4063603
P53802,696586,4063601
P53803,696586,4063601
P54401,696565,4063603
P58501,696456,4063733
P58502,696454,4063732
R401,696456,4063728
P61201,696407,4063820
P61301,696405,4063820
P61302,696405,4063824
P61401,696403,4063825
P61501,696422,4063827
P61502,696422,4063830
P61801,696420,4063854
P62101,696407,4063842
P63401,696396,4063811
P63801,696380,4063791
P63802,696376,4063789
P63803,696377,4063791
P63804,696377,4063791
P64601,696405,4063768
P64801,696412,4063754
P65001,696435,4063725
P65101,696436,4063719
P69501,696543,4063608
P69502,696541,4063610
P69503,696541,4063611
