shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
0.082439,0.364,0.296583,-9999
0.094349,0.45,0.486729,0.368957
0.074735,0.4436,0.374441,0.353452
0.102844,0.6196,0.253153,0.207305
0.062352,0.3712,0.0285781,0.236035
0.095055,0.1324,0.0265529,0.238015
0.123208,0.3156,0.0929352,0.192543
0.07376,0.3564,0.13974,0.103688
0.079016,0.3464,0.126014,0.0857228
0.120677,0.512,0.154367,0.0710697
0.093891,0.5012,0.0571563,0.101924
0.090478,0.324,0.0243027,0.133391
0.173956,0.2876,0.0672824,0.12553
0.097154,0.0784,0.18047,0.0906912
0.136356,0.0716,0.0945104,0.0987919
0.11144,0.0216,0.181145,0.159961
0.099076,0.0828,0.171244,0.183327
0.141793,0.2288,0.141541,0.111789
0.128195,0.2256,0.0756083,0.087343
0.192343,0.1024,0.0783086,0.140735
0.300719,0.0716,0.142441,0.139079
0.061524,0.0296,0.166968,0.109401
0.071139,0.0248,0.100811,0.121366
0.120135,0.0568,0.0870846,0.09962
0.112724,0.0664,0.189471,0.136451
0.099714,0.0816,0.27228,0.221994
0.140511,0.1108,0.377592,0.246152
0.270349,0.1756,0.138165,0.149844
0.201983,0.1364,0.0447799,0.0784143
0.15458,0.0744,0.198697,0.138683
0.248067,0.1508,0.193071,0.144516
0.092012,0.2372,0.158192,0.117873
0.051165,0.0476,0.167193,0.125482
0.05723,0.0212,0.101936,0.107973
0.114031,0.0376,0.101261,0.118449
0.180266,0.0696,0.312334,0.131374
0.124623,0.1244,0.301308,0.163597
0.159934,0.176,0.247752,0.212849
0.133598,0.08,0.0789837,0.195964
0.075512,0.0896,0.0443299,0.114489
0.172088,0.1372,0.108237,0.0633651
0.196328,0.3024,0.157067,0.105164
0.120688,0.0976,0.0801088,0.121006
0.113736,0.1612,0.166518,0.117045
0.090325,0.056,0.126239,0.172094
0.08916,0.1208,0.158642,0.264837
0.085188,0.0928,0.186095,0.114237
0.128,0.1508,0.112737,0.170186
0.14326,0.1504,0.216024,0.191103
0.119352,0.1428,0.139515,0.181382
0.165708,0.0884,0.213774,0.140267
0.18515,0.0544,0.0920351,0.108837
0.139987,0.0808,0.0677325,0.1016
0.190339,0.0948,0.0528808,0.0934635
0.085014,0.1068,0.0445549,0.10124
0.073696,0.072,0.143116,0.117477
0.095094,0.2684,0.0864095,0.112941
0.091066,0.3336,0.14064,0.143471
0.121958,0.0948,0.203197,0.23139
0.097116,0.0412,0.354639,0.285395
0.099908,0.0416,0.131414,0.240115
0.110903,0.1952,0.2311,0.114309
0.130767,0.2384,0.160668,0.139547
0.154657,0.1712,0.266654,0.18095
0.1041,0.1608,0.130964,0.180626
0.165187,0.166,0.054456,0.146892
0.208653,0.0164,0.0553561,0.112833
0.146602,0.1548,0.0882097,0.0826626
0.169597,0.0764,0.118138,0.0761821
0.136242,0.0408,0.172144,0.108801
0.145171,0.23,0.0679575,0.138143
0.201668,0.4392,0.144466,0.136055
0.182705,0.2856,0.0897849,0.166117
0.107504,0.4136,0.107112,0.266673
