FID,Slope,Elevat,ShrubCov,x_utm,y_utm
0,14.0093002,825,0.2965830,256419.200000000011642,3895542.200000000186265
1,5.5472298,824,0.4867290,256379.200000000011642,3895502.200000000186265
2,10.8729000,827,0.3744410,256419.200000000011642,3895502.200000000186265
3,12.9844999,837,0.2531530,256459.200000000011642,3895502.200000000186265
4,1.9759800,821,0.0285781,256299.200000000011642,3895462.200000000186265
5,3.6469700,822,0.0265529,256339.200000000011642,3895462.200000000186265
6,6.1579199,825,0.0929352,256379.200000000011642,3895462.200000000186265
7,9.1286497,831,0.1397400,256419.200000000011642,3895462.200000000186265
8,8.7218399,838,0.1260140,256459.200000000011642,3895462.200000000186265
9,5.8689899,819,0.1543670,256299.200000000011642,3895422.200000000186265
10,6.3247600,820,0.0571563,256339.200000000011642,3895422.200000000186265
11,8.6646299,826,0.0243027,256379.200000000011642,3895422.200000000186265
12,8.6466703,832,0.0672824,256419.200000000011642,3895422.200000000186265
13,5.6437101,837,0.1804700,256459.200000000011642,3895422.200000000186265
14,6.0897498,838,0.0945104,256499.200000000011642,3895422.200000000186265
15,9.4224901,811,0.1811450,256259.200000000011642,3895382.200000000186265
16,7.6430402,813,0.1712440,256299.200000000011642,3895382.200000000186265
17,8.1458302,816,0.1415410,256339.200000000011642,3895382.200000000186265
18,10.0066004,822,0.0756083,256379.200000000011642,3895382.200000000186265
19,9.1388302,830,0.0783086,256419.200000000011642,3895382.200000000186265
20,6.3197699,835,0.1424410,256459.200000000011642,3895382.200000000186265
21,8.4464197,832,0.1669680,256499.200000000011642,3895382.200000000186265
22,9.9305496,836,0.1008110,256539.200000000011642,3895382.200000000186265
23,8.1878500,804,0.0870846,256219.200000000011642,3895342.200000000186265
24,6.8781600,806,0.1894710,256259.200000000011642,3895342.200000000186265
25,6.6973901,809,0.2722800,256299.200000000011642,3895342.200000000186265
26,8.2106800,814,0.3775920,256339.200000000011642,3895342.200000000186265
27,8.0997295,821,0.1381650,256379.200000000011642,3895342.200000000186265
28,7.0940900,826,0.0447799,256419.200000000011642,3895342.200000000186265
