FID,Elevat,Slope,ShrubCov,x_wgs,y_wgs
0,-9999,-9999.0000000,0.0000000,259717.702052000007825,3890941.250142999924719
1,719,-9999.0000000,0.0093608,259717.702052000007825,3890891.250142999924719
2,726,-9999.0000000,0.0047524,259767.702052000007825,3890891.250142999924719
3,732,-9999.0000000,0.0126730,259817.702052000007825,3890891.250142999924719
4,735,-9999.0000000,0.0044644,259867.702052000007825,3890891.250142999924719
5,720,2.7531400,0.0000000,259667.702052000007825,3890841.250142999924719
6,723,3.8905399,0.0322586,259717.702052000007825,3890841.250142999924719
7,727,4.9904799,0.0282263,259767.702052000007825,3890841.250142999924719
8,732,4.6881099,0.0286583,259817.702052000007825,3890841.250142999924719
9,732,4.2891502,0.0302424,259867.702052000007825,3890841.250142999924719
10,736,4.3551102,0.0408993,259917.702052000007825,3890841.250142999924719
11,740,1.8112500,0.0122410,259967.702052000007825,3890841.250142999924719
12,736,6.8545299,0.0018721,260017.702052000007825,3890841.250142999924719
13,728,4.4154601,0.0000000,260067.702052000007825,3890841.250142999924719
14,720,4.0446901,0.0109449,259667.702052000007825,3890791.250142999924719
15,723,4.3222599,0.0642291,259717.702052000007825,3890791.250142999924719
16,723,5.3135300,0.0545804,259767.702052000007825,3890791.250142999924719
17,726,5.6678801,0.0518441,259817.702052000007825,3890791.250142999924719
18,730,5.4193401,0.0668213,259867.702052000007825,3890791.250142999924719
19,736,3.9888699,0.0580366,259917.702052000007825,3890791.250142999924719
20,737,2.8624101,0.0400352,259967.702052000007825,3890791.250142999924719
21,733,6.8896799,0.0269301,260017.702052000007825,3890791.250142999924719
22,726,4.1687398,0.0168493,260067.702052000007825,3890791.250142999924719
23,727,2.4628699,0.0478118,260117.702052000007825,3890791.250142999924719
24,729,3.6469700,0.0109449,260167.702052000007825,3890791.250142999924719
25,732,3.6413701,0.0023042,260217.702052000007825,3890791.250142999924719
26,715,5.7810602,0.0116649,259667.702052000007825,3890741.250142999924719
27,717,6.0711699,0.0648052,259717.702052000007825,3890741.250142999924719
