uniID,Count_,Shrub_Cov,Aspect,Slope,Elev,x_utm,y_utm,x_wgs,y_wgs
78,0,0.00986052,-9999,-9999,-9999,697720,4062280,-120.787066,36.68563
79,0,0.00358564,-9999,-9999,-9999,697740,4062280,-120.786842,36.685626
80,0,0.00537846,-9999,-9999,646,697760,4062280,-120.786619,36.685622
81,0,0.0322708,-9999,-9999,646,697780,4062280,-120.786395,36.685618
155,0,0.0170318,-9999,-9999,641,697600,4062300,-120.788403,36.685835
156,0,0.00627488,277.696,13.135,645,697620,4062300,-120.788179,36.685831
157,0,0.0107569,260.91,17.5613,651,697640,4062300,-120.787956,36.685827
158,0,0.0268923,-9999,-9999,658,697660,4062300,-120.787732,36.685823
159,0,0.0277887,-9999,-9999,660,697680,4062300,-120.787508,36.685819
160,0,0.0080677,-9999,-9999,661,697700,4062300,-120.787284,36.685814
161,0,0.0358564,-9999,-9999,660,697720,4062300,-120.787061,36.68581
162,0,0.0268923,-9999,-9999,658,697740,4062300,-120.786837,36.685806
163,0,0.0277887,102.604,18.9678,648,697760,4062300,-120.786613,36.685802
164,0,0,-9999,-9999,644,697780,4062300,-120.78639,36.685798
231,0,0.030478,290.225,7.2126,658,697460,4062320,-120.789964,36.686044
232,0,0.0161354,333.435,3.1996,661,697480,4062320,-120.78974,36.68604
233,0,0.0286851,68.6294,8.77512,659,697500,4062320,-120.789516,36.686036
234,0,0.0421313,-9999,-9999,655,697520,4062320,-120.789293,36.686032
235,0,0.0268923,-9999,-9999,-9999,697540,4062320,-120.789069,36.686028
236,0,0.0528882,-9999,-9999,-9999,697560,4062320,-120.788845,36.686024
237,0,0.0340636,-9999,-9999,-9999,697580,4062320,-120.788621,36.68602
238,0,0.0206174,-9999,-9999,639,697600,4062320,-120.788398,36.686015
239,0,0.0179282,294.228,15.3308,643,697620,4062320,-120.788174,36.686011
240,0,0.0125498,294.076,17.835,649,697640,4062320,-120.78795,36.686007
241,0,0.019721,300.53,15.8005,655,697660,4062320,-120.787727,36.686003
