FID,uniID,Count_,Shrub_Cov,Aspect,Slope,Elev,x_utm,y_utm,x_wgs,y_wgs
0,1549.000000000000000,1,0.0242031,135.0000000,2.0248699,666,697259.999998999992386,4062640.000000000000000,-120.792118000000002,36.688969000000000
1,1632.000000000000000,2,0.0071713,90.0000000,3.5763299,666,697259.999998999992386,4062660.000000000000000,-120.792113000000001,36.689149000000000
2,1633.000000000000000,1,0.0116533,82.5686035,8.2485704,663,697279.999998999992386,4062660.000000000000000,-120.791888999999998,36.689145000000003
3,1714.000000000000000,0,0.0000000,333.4349976,1.6010500,666,697239.999998999992386,4062680.000000000000000,-120.792332000000002,36.689332999999998
4,1715.000000000000000,0,0.0152390,63.4348984,4.7931800,666,697259.999998999992386,4062680.000000000000000,-120.792107999999999,36.689329000000001
5,1716.000000000000000,2,0.0268923,79.6951981,7.9558001,663,697279.999998999992386,4062680.000000000000000,-120.791883999999996,36.689324999999997
6,1796.000000000000000,2,0.0170318,281.3099976,1.8253300,665,697219.999998999992386,4062700.000000000000000,-120.792550000000006,36.689517000000002
7,1797.000000000000000,0,0.0000000,26.5650997,1.6010500,665,697239.999998999992386,4062700.000000000000000,-120.792326000000003,36.689512999999998
8,1798.000000000000000,0,0.0080677,63.4348984,4.7931800,664,697259.999998999992386,4062700.000000000000000,-120.792102999999997,36.689509000000001
9,1799.000000000000000,4,0.0233067,79.9919968,6.1579199,662,697279.999998999992386,4062700.000000000000000,-120.791878999999994,36.689504999999997
10,1878.000000000000000,0,0.0134462,264.8059998,3.9490600,664,697199.999998999992386,4062720.000000000000000,-120.792769000000007,36.689701999999997
11,1879.000000000000000,0,0.0484062,288.4349976,1.1322600,665,697219.999998999992386,4062720.000000000000000,-120.792545000000004,36.689698000000000
12,1880.000000000000000,1,0.0008964,59.0362015,2.0871301,665,697239.999998999992386,4062720.000000000000000,-120.792321000000001,36.689692999999998
13,1881.000000000000000,0,0.0215139,74.7449036,4.0760598,664,697259.999998999992386,4062720.000000000000000,-120.792097999999996,36.689689000000001
14,1882.000000000000000,2,0.0080677,90.0000000,4.2891502,662,697279.999998999992386,4062720.000000000000000,-120.791874000000007,36.689684999999997
15,1960.000000000000000,0,0.0062749,225.0000000,4.5482702,663,697179.999998999992386,4062740.000000000000000,-120.792986999999997,36.689886000000001
16,1961.000000000000000,0,0.0035856,225.0000000,3.5404799,664,697199.999998999992386,4062740.000000000000000,-120.792764000000005,36.689881999999997
17,1962.000000000000000,0,0.0313744,90.0000000,0.7161600,665,697219.999998999992386,4062740.000000000000000,-120.792540000000002,36.689878000000000
18,1963.000000000000000,0,0.0000000,53.1301003,3.5763299,664,697239.999998999992386,4062740.000000000000000,-120.792316000000000,36.689874000000003
19,1964.000000000000000,0,0.0089641,53.1301003,3.5763299,663,697259.999998999992386,4062740.000000000000000,-120.792091999999997,36.689869000000002
20,1965.000000000000000,0,0.0026892,81.8699036,2.5304899,662,697279.999998999992386,4062740.000000000000000,-120.791869000000005,36.689864999999998
21,2043.000000000000000,0,0.0089641,225.0000000,5.0511498,665,697179.999998999992386,4062760.000000000000000,-120.792981999999995,36.690066000000002
22,2044.000000000000000,0,0.0394421,188.1300049,2.5304899,666,697199.999998999992386,4062760.000000000000000,-120.792758000000006,36.690061999999998
23,2045.000000000000000,0,0.0277887,96.3402023,3.2392700,665,697219.999998999992386,4062760.000000000000000,-120.792535000000001,36.690058000000001
24,2046.000000000000000,3,0.0250995,71.5650024,4.5202298,663,697239.999998999992386,4062760.000000000000000,-120.792310999999998,36.690054000000003
25,2047.000000000000000,3,0.0107569,45.0000000,3.0357201,662,697259.999998999992386,4062760.000000000000000,-120.792086999999995,36.690049999999999
