Shrub_ID,D1,D2,H,Volume,S.density grouping,Canopy,Skat.2013,Skat.2014,X,Y,RDM.2013,RDM.2014,Shrub.density,Dx,Burrows,Trails
1,5.1,3.5,1.6,14.95,2,7,1,0,697267.9637,4062667.19,0.582727909,1.035003901,0.002228318,,,
2,2.6,2.8,1.1,4.19,2,10,0,0,697272.85,4062667.19,1.087432742,0.77066958,0.00228031,,,
3,2.8,1.6,1.4,3.28,2,8,0,0,697277.7362,4062676.294,1.551373363,1.020897508,0.002722799,,,
4,3.4,2.9,1.5,7.74,2,6,0,0,697282.6225,4062685.399,2.562836647,0.965564311,0.002854859,,,
5,2.9,3.6,1.5,8.2,2,4,0,0,697277.5545,4062695.828,6.442046165,1.27820158,0.003084012,,,
6,2.7,2.6,0.8,2.94,2,5,0,0,697277.3831,4062707.147,8.628020287,1.687330246,0.002632798,,,
7,2.3,1.7,1,2.05,2,6,0,0,697283.7757,4062712.956,9.759580612,1.321230292,0.002537653,,,
8,2.5,2.6,1.6,5.45,2,3,0,0,697286.3443,4062702.358,7.915065289,0.997401714,0.002854859,,,
9,2.9,2.3,1.1,3.84,2,6,0,0,697285.1241,4062697.113,5.027719975,0.992733598,0.002469915,,,
10,3.1,3.6,1.8,10.52,2,7,0,0,697271.0511,4062725.873,6.834246159,2.03653121,0.002015125,18.19333333,3,0
11,2.5,2.8,1,3.67,2,2,0,0,697290.0735,4062730.641,4.18708849,1.928268552,0.001638502,,,
12,1.5,1.3,0.8,0.82,2,8,0,0,697267.3357,4062755.205,5.409973621,2.298109055,0.001698039,,,
13,2.2,2.2,1.3,3.29,2,8,0,0,697269.3575,4062760.58,6.942149162,2.089686871,0.002104711,15.76666667,4,4
14,2,2.3,1.3,3.13,2,9,0,0,697256.9193,4062761.07,6.150328636,1.580214143,0.00311926,,,
15,5.2,4.1,1.8,20.09,2,3,0,0,697242.3519,4062760.846,2.945753574,1.721379042,0.003434217,,,
16,3.1,3.5,1.5,8.52,2,3,0,0,697231.8127,4062775.922,5.599879742,1.4256953,0.003740633,,,
17,4.78,6.2,2.15,33.36,2,4.5,0,0,697231.4835,4062770.808,6.290275097,1.413708448,0.003313889,,,
18,4,3.5,1.8,13.19,2,5,0,0,697232.4282,4062764.724,2.876213789,1.829805732,0.002816746,,,
19,5,4.7,1.8,22.15,2,6,0,0,697232.641,4062724.433,2.367727041,1.932037473,0.00095162,,,
20,5.5,6.4,2,36.86,2,4,0,0,697229.1387,4062705.702,1.968562722,1.596901536,0.00095162,,,
21,2.1,1.7,1.8,3.36,2,5,0,0,697229.1387,4062705.702,1.968562722,1.596901536,0.00095162,,,
22,3.3,3.1,1.5,8.03,2,9,0,0,697256.5415,4062657.156,0.057823014,0.654188752,0.001586033,,,
23,4.3,3.6,1.4,11.35,2,8,0,0,697262.7917,4062641.981,1.021729708,0.160401598,0.001586033,,,
24,4.7,3.1,1.5,11.44,2,5,0,0,697273.7192,4062621.696,1.086491108,0.334020495,0.000634413,,,
25,4.3,3.8,1.5,12.83,2,8,0,0,697274.4857,4062790.227,3.84706831,2.833235979,0.003074172,,,
26,2.7,2.7,1,3.82,2,8,0,0,697294.3511,4062773.922,12.5200386,1.441747427,0.001347118,,,
27,4.1,3.7,1.2,9.53,2,7,0,0,697288.0088,4062793.092,6.825844765,2.87902379,0.001644435,15.35,7,3
28,3.6,3.6,1.2,8.14,2,8,0,0,697279.9437,4062801.676,2.930839062,3.164548397,0.0023581,,,
29,2.6,2.4,1.2,3.92,2,0,0,0,697295.7642,4062813.474,3.717809916,2.434756994,0.002396541,,,
30,4.7,3.9,1.5,14.4,2,7,0,0,697304.8397,4062827.005,4.678003788,3.105525494,0.001509251,,,
31,5.3,4.3,1.8,21.48,2,7,0,0,697307.8978,4062837.843,10.89518738,3.462647915,0.002467377,,,
32,2.9,2.9,1.1,4.84,2,10,0,0,697309.6923,4062845.322,5.155793667,3.725800753,0.002468585,,,
33,2.3,2.3,1.2,3.32,2,9,0,0,697267.4642,4062819.483,7.42775631,2.468368769,0.003726622,,,
34,2.2,2.4,1,2.76,2,7,0,0,697265.9882,4062833.103,9.571037292,2.002275229,0.004000547,,,
35,1.5,1.7,1,1.34,2,10,0,0,697262.825,4062834.584,10.96361828,2.300938368,0.003916183,,,
36,1,0.6,0.7,0.22,2,10,0,0,697264.0633,4062831.282,9.775492668,2.197652102,0.003839922,,,
37,4.1,3.5,1.7,12.77,2,8,0,0,697268.661,4062837.383,11.54685307,2.353012085,0.004023789,,,
38,3.2,2.6,1.2,5.23,2,8,0,0,697275.0461,4062835.754,11.28787327,2.388952017,0.003954075,,,
39,1.7,2.1,1.1,2.06,2,7,0,0,697280.0624,4062846.971,12.60861397,3.032647848,0.005116056,,,
40,2,2,0.7,1.47,2,9,0,0,697260.4045,4062846.518,15.45697021,2.992639303,0.004440892,,,
