FID,pointid,shrub_cov,Elev,Slope,x_wgs,y_wgs,x_utm,y_utm,lat,lng
2443,2444,0.493119,741,11.5860004,-119.665605,35.154713,257189.2,3893450,35.15467782,-119.665594
2723,2724,0.486288,746,8.6753902,-119.664888,35.152926,257249.2,3893250,35.15289082,-119.6648771
2666,2667,0.478983,737,5.6437101,-119.665558,35.153272,257189.2,3893290,,
2526,2527,0.474486,747,10.4216003,-119.666026,35.154163,257149.2,3893390,,
2719,2720,0.462972,736,11.1800003,-119.665766,35.152907,257169.2,3893250,,
2357,2358,0.462689,737,10.0249996,-119.665404,35.155259,257209.2,3893510,,
2441,2442,0.460055,737,14.4504004,-119.666044,35.154704,257149.2,3893450,,
2414,2415,0.457987,741,12.4701004,-119.665611,35.154894,257189.2,3893470,,
2692,2693,0.45323,734,9.2566795,-119.665772,35.153087,257169.2,3893270,,
2693,2694,0.452394,737,9.0536499,-119.665552,35.153092,257189.2,3893270,35.15305648,-119.6655411
2643,2644,0.443714,745,10.0249996,-119.664687,35.153472,257269.2,3893310,,
2667,2668,0.438901,739,4.0760598,-119.665339,35.153277,257209.2,3893290,,
471,472,0.437491,778,5.90657,-119.675012,35.167125,256369.2,3894850,35.16708977,-119.6750004
2358,2359,0.43714,737,11.0704002,-119.665184,35.155263,257229.2,3893510,,
2751,2752,0.419063,750,1.82533,-119.664663,35.152751,257269.2,3893230,,
2525,2526,0.413476,737,13.1350002,-119.666246,35.154158,257129.2,3893390,35.15412288,-119.6662344
2717,2718,0.409901,732,8.4279604,-119.666205,35.152897,257129.2,3893250,,
2665,2666,0.403856,734,6.1579199,-119.665778,35.153267,257169.2,3893290,,
2694,2695,0.402946,739,7.9558001,-119.665333,35.153097,257209.2,3893270,,
2524,2525,0.399199,732,11.8344002,-119.666465,35.154154,257109.2,3893390,,
2691,2692,0.394665,734,6.7628598,-119.665991,35.153082,257149.2,3893270,,
2718,2719,0.39176,736,10.3269997,-119.665985,35.152902,257149.2,3893250,,
472,473,0.383525,778,3.39325,-119.674792,35.16713,256389.2,3894850,,
2440,2441,0.382734,731,9.5848703,-119.666263,35.154699,257129.2,3893450,,
2720,2721,0.375312,742,9.0399399,-119.665546,35.152912,257189.2,3893250,,
2471,2472,0.371687,744,11.4912004,-119.665819,35.154528,257169.2,3893430,,
2527,2528,0.368244,747,4.79318,-119.665807,35.154168,257169.2,3893390,,
470,471,0.367625,775,5.15065,-119.675231,35.16712,256349.2,3894850,,
2472,2473,0.363592,746,7.70016,-119.665599,35.154533,257189.2,3893430,,
468,469,0.357962,771,5.36764,-119.67567,35.167111,256309.2,3894850,,
2743,2744,0.350944,732,9.0536499,-119.666418,35.152712,257109.2,3893230,,
473,474,0.349449,-9999,3.39325,-119.674573,35.167135,256409.2,3894850,,
469,470,0.342936,773,4.79318,-119.67545,35.167116,256329.2,3894850,,
467,468,0.338587,771,5.1996698,-119.675889,35.167106,256289.2,3894850,,
2444,2445,0.336567,746,8.5599003,-119.665386,35.154718,257209.2,3893450,,
427,428,0.333141,773,2.95035,-119.675456,35.167296,256329.2,3894870,,
2642,2643,0.316638,741,6.0753298,-119.664906,35.153467,257249.2,3893310,,
2722,2723,0.314004,743,9.2566795,-119.665108,35.152922,257229.2,3893250,,
2329,2330,0.311834,734,7.0184102,-119.66519,35.155444,257229.2,3893530,,
2495,2496,0.307898,732,7.4857101,-119.66669,35.154329,257089.2,3893410,,
2442,2443,0.306269,737,13.5021,-119.665825,35.154709,257169.2,3893450,,
2724,2725,0.301295,749,6.5740099,-119.664669,35.152931,257269.2,3893250,,
20,21,0.300719,783,7.0719199,-119.678184,35.17012,256089.2,3895190,,
466,467,0.297606,769,4.5482702,-119.676109,35.167101,256269.2,3894850,,
2742,2743,0.296892,732,10.3150997,-119.666637,35.152708,257089.2,3893230,,
1218,1219,0.295957,763,3.1996,-119.670234,35.162003,256789.2,3894270,,
2470,2471,0.292103,744,15.3459997,-119.666038,35.154524,257149.2,3893430,,
512,513,0.2906,779,3.94906,-119.675006,35.166945,256369.2,3894830,,
426,427,0.290564,771,3.1996,-119.675676,35.167291,256309.2,3894870,,
2695,2696,0.288043,739,8.7751198,-119.665114,35.153102,257229.2,3893270,,
509,510,0.285986,771,6.5740099,-119.675664,35.166931,256309.2,3894830,,
2523,2524,0.285861,732,9.6362696,-119.666684,35.154149,257089.2,3893390,,
1900,1901,0.28366,739,3.6817801,-119.66615,35.157946,257149.2,3893810,,
428,429,0.283434,775,4.5202298,-119.675237,35.167301,256349.2,3894870,,
388,389,0.282043,774,4.5202298,-119.675243,35.167481,256349.2,3894890,,
275,276,0.281636,780,6.3793702,-119.676358,35.167997,256249.2,3894950,,
2469,2470,0.281357,734,11.9968996,-119.666257,35.154519,257129.2,3893430,,
508,509,0.279673,771,6.1579199,-119.675883,35.166926,256289.2,3894830,,
604,605,0.276977,762,3.6817801,-119.679814,35.166298,255929.2,3894770,,
507,508,0.274964,768,5.36764,-119.676103,35.166921,256269.2,3894830,,
1132,1133,0.274673,765,3.23927,-119.669819,35.162733,256829.2,3894350,,
605,606,0.274182,764,2.7251401,-119.679595,35.166303,255949.2,3894770,,
