FID,Slope,Elevat,ShrubCov,x_utm,y_utm
0,-9999.0000000,829,-9999.0000000,256424.200000000011642,3895588.200000000186265
1,8.5224800,824,0.3689570,256374.200000000011642,3895538.200000000186265
2,-9999.0000000,834,0.3534520,256424.200000000011642,3895538.200000000186265
3,6.0429702,824,0.2073050,256324.200000000011642,3895488.200000000186265
4,7.6312900,828,0.2360350,256374.200000000011642,3895488.200000000186265
5,7.9642801,836,0.2380150,256424.200000000011642,3895488.200000000186265
6,-9999.0000000,842,0.1925430,256474.200000000011642,3895488.200000000186265
7,7.2862101,817,0.1036880,256274.200000000011642,3895438.200000000186265
8,7.3734999,821,0.0857228,256324.200000000011642,3895438.200000000186265
9,8.0625296,828,0.0710697,256374.200000000011642,3895438.200000000186265
10,7.2167301,835,0.1019240,256424.200000000011642,3895438.200000000186265
11,7.1057501,838,0.1333910,256474.200000000011642,3895438.200000000186265
12,-9999.0000000,840,0.1255300,256524.200000000011642,3895438.200000000186265
13,7.6936598,804,0.0906912,256174.200000000011642,3895388.200000000186265
14,7.5874200,808,0.0987919,256224.200000000011642,3895388.200000000186265
15,7.6067901,812,0.1599610,256274.200000000011642,3895388.200000000186265
16,8.1315603,817,0.1833270,256324.200000000011642,3895388.200000000186265
17,7.9760199,825,0.1117890,256374.200000000011642,3895388.200000000186265
18,7.2885499,830,0.0873430,256424.200000000011642,3895388.200000000186265
19,7.7765799,832,0.1407350,256474.200000000011642,3895388.200000000186265
20,8.6559601,833,0.1390790,256524.200000000011642,3895388.200000000186265
21,-9999.0000000,834,0.1094010,256574.200000000011642,3895388.200000000186265
22,7.3889799,795,0.1213660,256124.200000000011642,3895338.200000000186265
23,7.7239099,799,0.0996200,256174.200000000011642,3895338.200000000186265
24,7.7049298,804,0.1364510,256224.200000000011642,3895338.200000000186265
25,7.6982799,809,0.2219940,256274.200000000011642,3895338.200000000186265
26,7.2955098,817,0.2461520,256324.200000000011642,3895338.200000000186265
27,6.9871101,822,0.1498440,256374.200000000011642,3895338.200000000186265
28,7.9106102,824,0.0784143,256424.200000000011642,3895338.200000000186265
29,8.6914501,825,0.1386830,256474.200000000011642,3895338.200000000186265
30,9.1087704,826,0.1445160,256524.200000000011642,3895338.200000000186265
31,9.1995497,826,0.1178730,256574.200000000011642,3895338.200000000186265
32,-9999.0000000,824,0.1254820,256624.200000000011642,3895338.200000000186265
