FID,Elevat,Slope,ShrubCov,x_wgs,y_wgs
0,-9999,-9999.0000000,0.0004500,259712.702052000007825,3890934.850140000227839
1,718,-9999.0000000,0.0067501,259712.702052000007825,3890894.850140000227839
2,723,-9999.0000000,0.0101252,259752.702052000007825,3890894.850140000227839
3,729,-9999.0000000,0.0074252,259792.702052000007825,3890894.850140000227839
4,733,-9999.0000000,0.0099002,259832.702052000007825,3890894.850140000227839
5,735,-9999.0000000,0.0000000,259872.702052000007825,3890894.850140000227839
6,719,3.3267701,0.0049501,259672.702052000007825,3890854.850140000227839
7,721,5.3558202,0.0276756,259712.702052000007825,3890854.850140000227839
8,726,5.8851299,0.0285756,259752.702052000007825,3890854.850140000227839
9,730,5.1135702,0.0245255,259792.702052000007825,3890854.850140000227839
10,733,4.0760598,0.0238505,259832.702052000007825,3890854.850140000227839
11,734,3.8010499,0.0139503,259872.702052000007825,3890854.850140000227839
12,736,4.1839800,0.0200254,259912.702052000007825,3890854.850140000227839
13,739,2.0406101,0.0060751,259952.702052000007825,3890854.850140000227839
14,739,4.4990802,0.0013500,259992.702052000007825,3890854.850140000227839
15,721,3.0878799,0.0123753,259672.702052000007825,3890814.850140000227839
16,724,3.3932500,0.0409509,259712.702052000007825,3890814.850140000227839
17,725,4.2965698,0.0389258,259752.702052000007825,3890814.850140000227839
18,727,5.8528099,0.0400508,259792.702052000007825,3890814.850140000227839
19,729,5.5589499,0.0459010,259832.702052000007825,3890814.850140000227839
20,731,4.8785501,0.0537761,259872.702052000007825,3890814.850140000227839
21,735,4.6994801,0.0591763,259912.702052000007825,3890814.850140000227839
22,739,2.0406101,0.0256505,259952.702052000007825,3890814.850140000227839
23,738,5.7547402,0.0067501,259992.702052000007825,3890814.850140000227839
24,732,7.7689300,0.0065251,260032.702052000007825,3890814.850140000227839
25,727,3.6817801,0.0139503,260072.702052000007825,3890814.850140000227839
26,727,2.2917299,0.0065251,260112.702052000007825,3890814.850140000227839
27,718,5.5131998,0.0283506,259672.702052000007825,3890774.850140000227839
28,721,5.9065700,0.0807767,259712.702052000007825,3890774.850140000227839
29,721,5.4380102,0.0513011,259752.702052000007825,3890774.850140000227839
30,723,5.5532498,0.0677264,259792.702052000007825,3890774.850140000227839
31,726,6.0960798,0.0571512,259832.702052000007825,3890774.850140000227839
32,732,6.2646198,0.1057520,259872.702052000007825,3890774.850140000227839
33,736,3.9971700,0.0724515,259912.702052000007825,3890774.850140000227839
34,737,2.6052001,0.0560262,259952.702052000007825,3890774.850140000227839
35,734,6.4285998,0.0490510,259992.702052000007825,3890774.850140000227839
36,729,6.6973901,0.0308257,260032.702052000007825,3890774.850140000227839
37,726,3.0775199,0.0182254,260072.702052000007825,3890774.850140000227839
38,726,1.9276900,0.0834768,260112.702052000007825,3890774.850140000227839
39,727,3.2978599,0.0366758,260152.702052000007825,3890774.850140000227839
40,729,4.3260899,0.0150753,260192.702052000007825,3890774.850140000227839
41,732,3.2881701,0.0002250,260232.702052000007825,3890774.850140000227839
42,732,3.0775199,0.0013500,260272.702052000007825,3890774.850140000227839
43,714,4.0838699,0.0002250,259632.702052000007825,3890734.850140000227839
44,714,5.4204998,0.0249755,259672.702052000007825,3890734.850140000227839
45,716,6.1425200,0.0470260,259712.702052000007825,3890734.850140000227839
46,718,5.6043200,0.0378008,259752.702052000007825,3890734.850140000227839
47,721,6.2292600,0.0450010,259792.702052000007825,3890734.850140000227839
48,726,7.5107799,0.0510761,259832.702052000007825,3890734.850140000227839
49,731,6.4285998,0.0447760,259872.702052000007825,3890734.850140000227839
50,735,2.8846400,0.0270006,259912.702052000007825,3890734.850140000227839
51,735,4.3039598,0.0357758,259952.702052000007825,3890734.850140000227839
52,732,6.5979199,0.0666014,259992.702052000007825,3890734.850140000227839
53,728,5.1506500,0.0434259,260032.702052000007825,3890734.850140000227839
54,725,2.7946200,0.0546762,260072.702052000007825,3890734.850140000227839
55,725,1.8253300,0.0549012,260112.702052000007825,3890734.850140000227839
56,725,2.5431001,0.0281256,260152.702052000007825,3890734.850140000227839
57,727,3.7588899,0.0220505,260192.702052000007825,3890734.850140000227839
58,730,3.1289699,0.0204754,260232.702052000007825,3890734.850140000227839
59,731,2.0406101,0.0175504,260272.702052000007825,3890734.850140000227839
60,732,2.2636399,0.0024751,260312.702052000007825,3890734.850140000227839
61,734,1.9768800,0.0002250,260352.702052000007825,3890734.850140000227839
62,735,2.4007900,0.0000000,260392.702052000007825,3890734.850140000227839
63,711,3.9490600,0.0006750,259632.702052000007825,3890694.850140000227839
64,711,4.5552602,0.0011250,259672.702052000007825,3890694.850140000227839
65,712,5.3558202,0.0238505,259712.702052000007825,3890694.850140000227839
66,715,5.9385900,0.0236255,259752.702052000007825,3890694.850140000227839
67,719,7.4352999,0.0477010,259792.702052000007825,3890694.850140000227839
68,726,8.6466703,0.0531011,259832.702052000007825,3890694.850140000227839
69,732,5.6437101,0.0535511,259872.702052000007825,3890694.850140000227839
70,734,3.9490600,0.0324007,259912.702052000007825,3890694.850140000227839
71,733,7.6184301,0.0398258,259952.702052000007825,3890694.850140000227839
72,726,7.6553202,0.0609763,259992.702052000007825,3890694.850140000227839
73,726,4.6450801,0.0288006,260032.702052000007825,3890694.850140000227839
74,724,2.5805399,0.0783017,260072.702052000007825,3890694.850140000227839
75,723,1.3633400,0.0355508,260112.702052000007825,3890694.850140000227839
76,725,2.4923000,0.0301506,260152.702052000007825,3890694.850140000227839
77,727,3.2978599,0.0344257,260192.702052000007825,3890694.850140000227839
78,729,2.9503500,0.0164253,260232.702052000007825,3890694.850140000227839
79,731,2.0406101,0.0081002,260272.702052000007825,3890694.850140000227839
80,732,3.0462301,0.0065251,260312.702052000007825,3890694.850140000227839
81,735,3.0566900,0.0040501,260352.702052000007825,3890694.850140000227839
82,736,2.6417601,0.0074252,260392.702052000007825,3890694.850140000227839
83,739,3.0462301,0.0119253,260432.702052000007825,3890694.850140000227839
